x,y,latitude,transparen,station_vi,longitude,fid,visit_date,color_id
24.333333,57.583333,57.583333000000003,1.800000000000000,98076.0,24.333333000000000,59,1998/05/13 06:45:00.000,19.0
24.1167,57.6,57.600000000000001,2.100000000000000,98077.0,24.116700000000002,60,1998/05/13 07:40:00.000,19.0
24.3533,57.4483,57.448300000000003,2.100000000000000,98078.0,24.353300000000001,61,1998/05/13 09:25:00.000,15.0
24.0833,57.35,57.350000000000001,2.000000000000000,98079.0,24.083300000000001,62,1998/05/13 11:00:00.000,11.0
24.3733,57.315,57.314999999999998,2.200000000000000,98081.0,24.373300000000000,63,1998/05/13 12:55:00.000,17.0
24.3667,57.24,57.240000000000002,2.500000000000000,98082.0,24.366700000000002,64,1998/05/13 14:10:00.000,9.0
24.25,57.1683,57.168300000000002,2.100000000000000,98083.0,24.250000000000000,65,1998/05/13 16:35:00.000,9.0
24.097,57.0986,57.098599999999998,1.900000000000000,98084.0,24.097000000000001,66,1998/05/13 17:10:00.000,15.0
23.5255,56.9984,56.998399999999997,1.800000000000000,98085.0,23.525500000000001,67,1998/05/18 13:20:00.000,17.0
23.562,56.9798,56.979799999999997,1.700000000000000,98086.0,23.562000000000001,68,1998/05/18 13:55:00.000,17.0
23.6162,56.9685,56.968499999999999,1.400000000000000,98087.0,23.616199999999999,69,1998/05/18 14:35:00.000,17.0
23.6897,56.9652,56.965200000000003,1.600000000000000,98088.0,23.689699999999998,70,1998/05/18 15:25:00.000,15.0
23.7273,56.9693,56.969299999999997,1.900000000000000,98089.0,23.727300000000000,71,1998/05/18 16:20:00.000,15.0
23.786,56.9772,56.977200000000003,1.700000000000000,98090.0,23.786000000000001,72,1998/05/18 16:50:00.000,17.0
23.829,56.9858,56.985799999999998,1.800000000000000,98091.0,23.829000000000001,73,1998/05/18 17:15:00.000,15.0
23.8785,56.9945,56.994500000000002,1.700000000000000,98092.0,23.878499999999999,74,1998/05/18 17:40:00.000,17.0
23.85,57.3,57.299999999999997,3.200000000000000,98093.0,23.850000000000001,75,1998/05/22 00:00:00.000,13.0
23.1424,57.3285,57.328499999999998,1.600000000000000,98094.0,23.142399999999999,76,1998/05/25 13:25:00.000,15.0
23.2029,57.2134,57.213400000000000,1.400000000000000,98095.0,23.202900000000000,77,1998/05/25 15:05:00.000,17.0
23.2411,57.1109,57.110900000000001,1.600000000000000,98096.0,23.241099999999999,78,1998/05/25 18:40:00.000,17.0
23.3679,57.0472,57.047199999999997,1.100000000000000,98097.0,23.367899999999999,79,1998/05/25 20:05:00.000,15.0
24.4013,57.3273,57.327300000000001,1.200000000000000,98098.0,24.401299999999999,80,1998/05/26 11:00:00.000,21.0
24.405,57.3065,57.306500000000000,1.100000000000000,98099.0,24.405000000000001,81,1998/05/26 11:20:00.000,21.0
24.103,57.0833,57.083300000000001,2.200000000000000,98100.0,24.103000000000002,82,1998/06/01 11:05:00.000,13.0
24.1414,57.0965,57.096499999999999,2.000000000000000,98101.0,24.141400000000001,83,1998/06/01 11:30:00.000,15.0
