x,y,latitude,transparency_m,station_vi,longitude,fid,visit_date,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area
23.92,57.025,57.025,2,202051,23.92,1487,2002/04/23 16:10:00.000,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.7433,56.98,56.98,2.2,202052,23.7433,1488,2002/04/23 17:10:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.705,56.9767,56.9767,2.5,202053,23.705,1489,2002/04/23 18:15:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
23.4867,57.0467,57.0467,2.1,202054,23.4867,1490,2002/04/23 19:20:00.000,13,LAT-003,Latvia,Gulf of Riga,"Gulf of Riga sandy coast, waterbodies C&E",,"Gulf of Riga sandy coast, waterbodies C&E",387.080162999,296440.220511,1327844259.75
23.6667,57.1667,57.1667,2.1,202055,23.6667,1491,2002/04/23 20:50:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.4833,57.4,57.4,2.2,202056,23.4833,1492,2002/04/24 06:05:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
22.9833,57.5667,57.5667,2.5,202057,22.9833,1493,2002/04/24 09:50:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
22.8167,57.5333,57.5333,2.9,202058,22.8167,1494,2002/04/24 11:00:00.000,13,LAT-003,Latvia,Gulf of Riga,"Gulf of Riga sandy coast, waterbodies C&E",,"Gulf of Riga sandy coast, waterbodies C&E",387.080162999,296440.220511,1327844259.75
22.8833,57.7976,57.7976,3,202059,22.8833,1495,2002/04/24 13:15:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
23.6167,57.6167,57.6167,1.9,202060,23.6167,1496,2002/04/24 17:20:00.000,9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.3367,57.5933,57.5933,2.1,202061,24.3367,1497,2002/04/24 20:40:00.000,9,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
23.7667,57.4167,57.4167,2.5,202063,23.7667,1498,2002/04/25 06:40:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.0833,57.35,57.35,2.2,202064,24.0833,1499,2002/04/25 08:35:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
