longitude,visit_date,color_id,latitude,fid,station_vi,transparen,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,geometry,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.9833,1999-09-07T12:47:00Z,11,57.1,2407,99403,2.9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9333,1999-09-07T13:47:00Z,13,57.1667,2408,99404,4.2,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.097,1999-09-07T14:53:00Z,9,57.0986,2409,99405,2.5,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.097|57.0986,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.25,1999-09-07T16:10:00Z,9,57.1683,2410,99406,2.8,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.25|57.1683,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.3667,1999-09-07T17:15:00Z,11,57.24,2411,99407,2.9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.3667|57.24,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.3733,1999-09-07T18:05:00Z,11,57.315,2412,99408,2,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F","","Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48,24.3733|57.315,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.0833,1999-09-07T19:37:00Z,9,57.35,2413,99409,4.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.0833|57.35,7,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.85,1999-09-08T06:05:00Z,9,57.3,2414,99410,3.75,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.7667,1999-09-08T08:30:00Z,9,57.4167,2415,99411,4.8,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.7667|57.4167,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.1167,1999-09-08T10:45:00Z,9,57.6,2416,99412,5.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.1167|57.6,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.6167,1999-09-08T13:05:00Z,9,57.6167,2417,99413,4.9,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6167|57.6167,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
22.9833,1999-09-08T16:20:00Z,9,57.5667,2418,99414,4.3,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,22.9833|57.5667,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.4833,1999-09-08T19:00:00Z,9,57.4,2419,99415,3.8,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.4833|57.4,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.2123,1999-09-08T20:25:00Z,9,57.3275,2420,99416,3.2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.2123|57.3275,8,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.2754,1999-09-09T07:45:00Z,9,57.173,2421,99417,3.2,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.2754|57.173,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.6667,1999-09-09T09:30:00Z,9,57.1667,2422,99418,4,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6667|57.1667,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.4867,1999-09-09T11:00:00Z,9,57.0467,2423,99419,3.2,LAT-003,Latvia,Gulf of Riga,"Gulf of Riga sandy coast, waterbodies C&E","","Gulf of Riga sandy coast, waterbodies C&E",387.080162999,296440.220511,1327844259.75,23.4867|57.0467,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.705,1999-09-09T12:05:00Z,11,56.9767,2424,99420,2.9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.705|56.9767,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.7433,1999-09-09T13:00:00Z,11,56.98,2425,99421,2.3,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.7433|56.98,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.92,1999-09-09T14:00:00Z,13,57.025,2426,99422,2.1,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.92|57.025,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9683,1999-09-09T14:45:00Z,17,57.0433,2427,99423,1.9,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9683|57.0433,9,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9833,1999-09-21T11:10:00Z,13,57.1,2428,99424,4.3,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,21,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.85,1999-09-22T08:00:00Z,9,57.3,2429,99425,3.5,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.3733,1999-09-22T10:50:00Z,11,57.315,2430,99426,3.2,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F","","Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48,24.3733|57.315,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.3667,1999-09-22T11:45:00Z,11,57.24,2431,99427,3.5,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.3667|57.24,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.25,1999-09-22T12:40:00Z,13,57.1683,2432,99428,3,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.25|57.1683,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9333,1999-09-22T15:10:00Z,9,57.1667,2433,99429,4,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9833,1999-09-22T16:25:00Z,11,57.1,2434,99430,3,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
24.0017,1999-09-22T17:05:00Z,11,57.0833,2435,99431,3.2,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833,22,9,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.85,1999-10-06T12:57:00Z,9,57.3,2436,99474,3.8,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3,6,10,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9333,1999-10-06T16:05:00Z,9,57.1667,2437,99475,3.5,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667,6,10,1999,1999,Sep-01:Nov-30,FALSE,autumn
23.9833,1999-10-06T17:00:00Z,11,57.1,2438,99476,3,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1,6,10,1999,1999,Sep-01:Nov-30,FALSE,autumn
