latitude,longitude,HELCOM_ID,Year_adj_generated,group_labels,transparency_m
57.5962,23.2507,SEA-011,1976,spring,5.25
57.8333,23.4686,SEA-011,1976,spring,4.75
57.76,23.9033,SEA-011,1976,spring,3.75
57.7933,23.915,SEA-011,1976,spring,4
57.85,23.9167,SEA-011,1976,spring,4
57.9833,23.8833,SEA-011,1976,spring,3.5
58.0117,23.875,SEA-011,1976,spring,2
58.045,23.905,EST-019,1976,spring,2.75
58.067,24.2,EST-018,1976,spring,2.75
58.108,24.233,EST-018,1976,spring,2.5
58.262,24.358,EST-013,1976,spring,2.25
58.3,24.4,EST-013,1976,spring,2
58.325,24.483,EST-013,1976,spring,2.5
58.0667,23.9733,SEA-011,1976,spring,2.5
58.025,23.875,SEA-011,1976,spring,3.5
58.0017,23.8833,SEA-011,1976,spring,3.5
57.5922,24.2976,SEA-011,1976,spring,4
57.6,23.8667,SEA-011,1976,summer,5.25
57.6021,23.4024,SEA-011,1976,summer,5.25
57.5962,23.2507,SEA-011,1976,summer,4.75
57.5922,24.2976,SEA-011,1976,summer,5.25
57.9508,23.0503,EST-019,1976,spring,6.5
57.9508,23.0503,EST-019,1976,summer,5.5
57.7,22.9333,SEA-011,1976,summer,5
57.88,22.71,SEA-011,1976,summer,6
57.5354,22.8781,SEA-011,1976,summer,5
57.7667,22.3333,SEA-011,1976,summer,6
58.325,24.483,EST-013,1976,summer,1.93333333333333
58.3,24.4,EST-013,1976,summer,2.16666666666667
58.262,24.358,EST-013,1976,summer,2.7
57.5933,24.3367,LAT-004,1976,summer,4.8
57.76,23.9033,SEA-011,1976,summer,4.5
58.067,24.2,EST-018,1976,summer,3.76666666666667
58.108,24.233,EST-018,1976,summer,3.5
57.7933,23.915,SEA-011,1976,summer,4.56666666666667
57.85,23.9167,SEA-011,1976,summer,4.33333333333333
58.0667,23.9733,SEA-011,1976,summer,2.75
58.045,23.905,EST-019,1976,summer,3.4
58.025,23.875,SEA-011,1976,summer,3.4
58.0117,23.875,SEA-011,1976,summer,3.25
58.0017,23.8833,SEA-011,1976,summer,3.25
57.9833,23.8833,SEA-011,1976,summer,3.65
57.9167,23.9,SEA-011,1976,summer,4
57.5833,24.2334,SEA-011,1976,summer,4.2
57.8333,23.4686,SEA-011,1976,summer,5
57.7976,22.8833,SEA-011,1976,autumn,4.5
58.325,24.483,EST-013,1976,autumn,1.5
58.3,24.4,EST-013,1976,autumn,1.5
58.262,24.358,EST-013,1976,autumn,1.5
58.108,24.233,EST-018,1976,autumn,2
58.067,24.2,EST-018,1976,autumn,2.5
58.4311,23.4718,EST-018,1976,autumn,3
57.76,23.9033,SEA-011,1976,autumn,4.5
57.7933,23.915,SEA-011,1976,autumn,1.5
58.0667,23.9733,SEA-011,1976,autumn,4
58.045,23.905,EST-019,1976,autumn,4
58.025,23.875,SEA-011,1976,autumn,4
58.0117,23.875,SEA-011,1976,autumn,4.5
58.0017,23.8833,SEA-011,1976,autumn,4.5
57.9833,23.8833,SEA-011,1976,autumn,4
57.8433,22.41,SEA-011,1988,winter,1.5
57.5667,22.9833,SEA-011,1988,winter,1.7
57.3,23.85,SEA-011,1988,winter,2.2
57.6167,23.6167,SEA-011,1988,winter,2.6
57.96,23.35,EST-019,1988,winter,1.6
57.35,24.0833,SEA-011,1988,winter,2.2
57.4,23.4833,SEA-011,1988,winter,2.4
57.7976,22.8833,SEA-011,1988,spring,3.96666666666667
58.2,23.4,EST-019,1988,spring,3.7
57.9683,24.1318,SEA-011,1988,spring,3.3
57.6,24.1167,SEA-011,1988,spring,2.96666666666667
57.1,23.9833,LAT-005,1988,spring,2
57.3,23.85,SEA-011,1988,spring,3.05
57.4,23.4833,SEA-011,1988,spring,2.9
57.35,24.0833,SEA-011,1988,spring,2.9
57.6167,23.6167,SEA-011,1988,spring,2.5
57.5667,22.9833,SEA-011,1988,spring,2.6
57.96,23.35,EST-019,1988,spring,3.65
57.8433,22.41,SEA-011,1988,spring,3.8
58.4311,23.4718,EST-018,1988,spring,4
57.9508,23.0503,EST-019,1988,spring,3.5
57.5962,23.2507,SEA-011,1988,spring,3.5
57.7633,24.2518,SEA-011,1988,spring,5
57.8333,23.4686,SEA-011,1988,spring,3
57.4167,23.7667,SEA-011,1988,spring,2.5
57.1,23.9833,LAT-005,1988,summer,3.9
57.3,23.85,SEA-011,1988,summer,4.5
57.35,24.0833,SEA-011,1988,summer,4.2
57.8433,22.41,SEA-011,1988,summer,4
57.7976,22.8833,SEA-011,1988,summer,4.5
58.2,23.4,EST-019,1988,summer,3.9
57.96,23.35,EST-019,1988,summer,4.2
57.6167,23.6167,SEA-011,1988,summer,4.5
57.9683,24.1318,SEA-011,1988,summer,3.7
57.6,24.1167,SEA-011,1988,summer,4.2
57.4,23.4833,SEA-011,1988,summer,3.95
57.5667,22.9833,SEA-011,1988,summer,4.3
57.95,22.54167,SEA-011,1988,spring,4.3
57.88,22.71,SEA-011,1988,spring,3.5
57.96,23.35,EST-019,2000,winter,3.2
57.6167,23.6167,SEA-011,2000,winter,3.45
57.4,23.4833,SEA-011,2000,winter,3.35
57.1,23.9833,LAT-005,1998,winter,1.6
57.3,23.85,SEA-011,1998,winter,4.05
57.3,23.85,SEA-011,1998,spring,2.48333333333333
57.1667,23.9333,LAT-005,1998,spring,1.75
57.1,23.9833,LAT-005,1998,spring,1.5
57.0833,24.0017,LAT-005,1998,spring,1.26666666666667
57.6167,23.6167,SEA-011,1998,spring,2.96666666666667
57.4167,23.7667,SEA-011,1998,spring,2.56666666666667
57.4,23.4833,SEA-011,1998,spring,2
57.3275,23.2123,SEA-011,1998,spring,2.55
57.6,24.1167,SEA-011,1998,spring,2.25
57.5933,24.3367,LAT-004,1998,spring,2.15
57.35,24.0833,SEA-011,1998,spring,2
57.315,24.3733,LAT-004,1998,spring,2
57.0833,24.0017,LAT-005,1998,winter,1.55
57.24,24.3667,LAT-005,1998,spring,1.95
57.1683,24.25,LAT-005,1998,spring,1.7
57.1667,23.6667,SEA-011,1998,spring,2
57.0467,23.4867,LAT-003,1998,spring,2.1
57.025,23.92,LAT-005,1998,spring,1.8
57.0792,24.0093,LAT-005,1998,spring,1.6
57.0737,23.9792,LAT-005,1998,spring,1.7
57.0577,23.9793,LAT-005,1998,spring,2.7
57.0433,23.9683,LAT-005,1998,spring,2.8
57.0573,23.9568,LAT-005,1998,spring,2.9
57.0542,23.9333,LAT-005,1998,spring,2.1
57.0872,23.8952,LAT-005,1998,spring,1.9
57.0687,23.8425,LAT-005,1998,spring,1.9
57.1243,23.9565,LAT-005,1998,spring,1.9
57.3331,23.2508,SEA-011,1998,spring,2.1
57.5667,22.9833,SEA-011,1998,spring,2.5
57.7976,22.8833,SEA-011,1998,spring,3.2
57.96,23.35,EST-019,1998,spring,2
57.583333,24.333333,LAT-004,1998,spring,1.8
57.4483,24.3533,LAT-004,1998,spring,2.1
57.0986,24.097,LAT-005,1998,spring,1.9
56.9984,23.5255,"",1998,spring,1.8
56.9798,23.562,"",1998,spring,1.7
56.9685,23.6162,"",1998,spring,1.4
56.9652,23.6897,LAT-005,1998,spring,1.6
56.9693,23.7273,LAT-005,1998,spring,1.9
