longitude,latitude,visit_date,transparency_m,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,Day_generated,Month_generated,Year_generated,Year_adj_generated,period_label,leap_year,group_labels
23.9833,57.1,1993-06-29T09:30:00Z,2.2,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,29,6,1993,1993,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1993-07-08T08:35:00Z,3.2,15,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,8,7,1993,1993,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1993-07-16T08:10:00Z,3.2,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,16,7,1993,1993,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1993-07-16T10:10:00Z,2.3,14,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,16,7,1993,1993,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1993-07-31T12:50:00Z,2.5,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,31,7,1993,1993,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,1993-07-31T16:00:00Z,2,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,31,7,1993,1993,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1993-08-04T09:40:00Z,3,12,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,4,8,1993,1993,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1993-08-28T04:30:00Z,4,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,28,8,1993,1993,Jun-01:Aug-30,FALSE,summer
23.85,57.3,1993-09-08T09:10:00Z,5.5,12,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,8,9,1993,1993,Sep-01:Nov-30,FALSE,autumn
23.9833,57.1,1993-09-08T12:00:00Z,2.2,18,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,8,9,1993,1993,Sep-01:Nov-30,FALSE,autumn
23.85,57.3,1993-12-10T09:10:00Z,4,12,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,10,12,1993,1994,Dec-01:Mar-01,FALSE,winter
23.85,57.3,1993-12-22T09:10:00Z,4,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,22,12,1993,1994,Dec-01:Mar-01,FALSE,winter
23.9833,57.1,1993-12-22T10:10:00Z,2,17,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,22,12,1993,1994,Dec-01:Mar-01,FALSE,winter
23.85,57.3,1982-06-13T11:55:00Z,6,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,13,6,1982,1982,Jun-01:Aug-30,FALSE,summer
23.9833,57.1,2005-02-17T13:00:00Z,2.4,10,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,17,2,2005,2005,Dec-01:Mar-01,FALSE,winter
23.85,57.3,2005-02-19T07:50:00Z,2.2,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,19,2,2005,2005,Dec-01:Mar-01,FALSE,winter
23.9833,57.1,2005-04-23T14:05:00Z,1.3,20,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23,4,2005,2005,Mar-02:May-30,FALSE,spring
23.85,57.3,2005-04-26T06:30:00Z,3,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,26,4,2005,2005,Mar-02:May-30,FALSE,spring
23.9833,57.1,2005-05-25T22:25:00Z,1.1,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,"",Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,25,5,2005,2005,Mar-02:May-30,FALSE,spring
23.85,57.3,2005-05-26T10:40:00Z,4.2,12,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,26,5,2005,2005,Mar-02:May-30,FALSE,spring
